"FREQ";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2.5e+11;-6.92022e-06;1.39092e-05
-2e+11;6.22363e-05;1.71354e-06
-1.5e+11;-5.03081e-05;-0.000516661
-1e+11;-0.00242059;0.000575821
-5e+10;-0.0697276;-0.211679
0;2.11852e-33;0
5e+10;-0.0697276;0.211679
1e+11;-0.00242059;-0.000575821
1.5e+11;-5.03081e-05;0.000516661
2e+11;6.22363e-05;-1.71354e-06
2.5e+11;-6.92022e-06;-1.39092e-05
