"FREQ";"r xyce/V(VIN)";"i xyce/V(VIN)"
-2.5e+11;0.00336328;0.0568237
-2e+11;-0.0712569;0.0697633
-1.5e+11;0.0351422;-0.0702143
-1e+11;-0.448544;-0.0524157
-5e+10;-0.190998;1.22319
0;1.20165e-16;0
5e+10;-0.190998;-1.22319
1e+11;-0.448544;0.0524157
1.5e+11;0.0351422;0.0702143
2e+11;-0.0712569;-0.0697633
2.5e+11;0.00336328;-0.0568237
