"FREQ";"r xyce/I(PR3)";"i xyce/I(PR3)"
-2.5e+11;-6.78072e-08;1.46052e-07
-2e+11;7.2892e-07;-1.64775e-09
-1.5e+11;-7.65882e-07;-7.26535e-06
-1e+11;-3.79609e-05;8.85427e-06
-5e+10;-0.00126123;-0.00382356
0;3.67746e-21;0
5e+10;-0.00126123;0.00382356
1e+11;-3.79609e-05;-8.85427e-06
1.5e+11;-7.65882e-07;7.26535e-06
2e+11;7.2892e-07;1.64775e-09
2.5e+11;-6.78072e-08;-1.46052e-07
