"FREQ";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2.5e+11;-9.49294e-05;0.000169183
-2e+11;0.000603957;7.71254e-05
-1.5e+11;-0.000104593;-0.00245125
-1e+11;-0.00747897;0.00177408
-5e+10;-0.100858;-0.311814
0;-9.61993e-34;0
5e+10;-0.100858;0.311814
1e+11;-0.00747897;-0.00177408
1.5e+11;-0.000104593;0.00245125
2e+11;0.000603957;-7.71254e-05
2.5e+11;-9.49294e-05;-0.000169183
