"FREQ";"r xyce/I(PR2)";"i xyce/I(PR2)"
-2.5e+11;-1.3001e-06;5.39817e-07
-2e+11;4.39641e-06;9.38927e-06
-1.5e+11;2.38297e-05;-2.0075e-05
-1e+11;-4.48415e-05;4.59416e-05
-5e+10;0.000719238;0.00120352
0;2.74928e-20;0
5e+10;0.000719238;-0.00120352
1e+11;-4.48415e-05;-4.59416e-05
1.5e+11;2.38297e-05;2.0075e-05
2e+11;4.39641e-06;-9.38927e-06
2.5e+11;-1.3001e-06;-5.39817e-07
