"FREQ";"r xyce/V(VIN)";"i xyce/V(VIN)"
-2.5e+11;1.48735e-06;1.13559e-07
-2e+11;-5.84529e-06;3.16569e-06
-1.5e+11;-4.57594e-05;2.40167e-05
-1e+11;8.3638e-05;-0.000532872
-5e+10;-0.0141895;0.0853767
0;1.78736e-18;0
5e+10;-0.0141895;-0.0853767
1e+11;8.3638e-05;0.000532872
1.5e+11;-4.57594e-05;-2.40167e-05
2e+11;-5.84529e-06;-3.16569e-06
2.5e+11;1.48735e-06;-1.13559e-07
