"FREQ";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2.5e+11;-0.0098054;0.179538
-2e+11;0.00276597;0.0859979
-1.5e+11;-0.163306;0.0037722
-1e+11;-0.231463;0.154036
-5e+10;-0.410405;-0.782903
0;-3.21157e-34;0
5e+10;-0.410405;0.782903
1e+11;-0.231463;-0.154036
1.5e+11;-0.163306;-0.0037722
2e+11;0.00276597;-0.0859979
2.5e+11;-0.0098054;-0.179538
