"FREQ";"Y";"r xyce/V(VIN)";"i xyce/V(VIN)"
2.5e+11;0.00321608;-0.000247788;-0.000251026
-2.5e+11;0.00346231;-0.000387669;0.000387608
-2e+11;0.00346231;0.000588063;-0.00170262
-1.5e+11;0.00346231;0.00132534;0.00412835
-1e+11;0.00346231;-0.00994001;-0.00790097
-5e+10;0.00346231;-0.0026698;0.0788243
0;0.00346231;1.23616;0
5e+10;0.00346231;-0.0026698;-0.0788243
1e+11;0.00346231;-0.00994001;0.00790097
1.5e+11;0.00346231;0.00132534;-0.00412835
2e+11;0.00346231;0.000588063;0.00170262
2.5e+11;0.00346231;-0.000387669;-0.000387608
-2.5e+11;0.00370854;-0.000566944;0.000522118
-2e+11;0.00370854;0.000836095;-0.00236385
-1.5e+11;0.00370854;0.00173273;0.00547661
-1e+11;0.00370854;-0.0122292;-0.00963996
-5e+10;0.00370854;-0.00417416;0.080864
0;0.00370854;1.25565;0
5e+10;0.00370854;-0.00417416;-0.080864
1e+11;0.00370854;-0.0122292;0.00963996
1.5e+11;0.00370854;0.00173273;-0.00547661
2e+11;0.00370854;0.000836095;0.00236385
2.5e+11;0.00370854;-0.000566944;-0.000522118
-2.5e+11;0.00395477;-0.000778324;0.000618214
-2e+11;0.00395477;0.00112935;-0.00305208
-1.5e+11;0.00395477;0.00215454;0.0069084
-1e+11;0.00395477;-0.014618;-0.0114523
-5e+10;0.00395477;-0.00570417;0.0828554
0;0.00395477;1.27383;0
5e+10;0.00395477;-0.00570417;-0.0828554
1e+11;0.00395477;-0.014618;0.0114523
1.5e+11;0.00395477;0.00215454;-0.0069084
2e+11;0.00395477;0.00112935;0.00305208
2.5e+11;0.00395477;-0.000778324;-0.000618214
-2.5e+11;0.004201;-0.00101162;0.000660253
-2e+11;0.004201;0.00145189;-0.00372766
-1.5e+11;0.004201;0.00258305;0.00836307
-1e+11;0.004201;-0.0170561;-0.0132856
-5e+10;0.004201;-0.00724321;0.0848643
0;0.004201;1.29306;0
5e+10;0.004201;-0.00724321;-0.0848643
1e+11;0.004201;-0.0170561;0.0132856
1.5e+11;0.004201;0.00258305;-0.00836307
2e+11;0.004201;0.00145189;0.00372766
2.5e+11;0.004201;-0.00101162;-0.000660253
-2.5e+11;0.00444723;-0.00125582;0.000647929
-2e+11;0.00444723;0.00178375;-0.00437111
-1.5e+11;0.00444723;0.00302589;0.00980372
-1e+11;0.00444723;-0.0195279;-0.0151043
-5e+10;0.00444723;-0.00880464;0.0868997
0;0.00444723;1.31187;0
5e+10;0.00444723;-0.00880464;-0.0868997
1e+11;0.00444723;-0.0195279;0.0151043
1.5e+11;0.00444723;0.00302589;-0.00980372
2e+11;0.00444723;0.00178375;0.00437111
2.5e+11;0.00444723;-0.00125582;-0.000647929
-2.5e+11;0.00469346;-0.00150121;0.000586352
-2e+11;0.00469346;0.00210618;-0.00497292
-1.5e+11;0.00469346;0.00349558;0.0112068
-1e+11;0.00469346;-0.0220315;-0.0168825
-5e+10;0.00469346;-0.0104075;0.0889599
0;0.00469346;1.3336;0
5e+10;0.00469346;-0.0104075;-0.0889599
1e+11;0.00469346;-0.0220315;0.0168825
1.5e+11;0.00469346;0.00349558;-0.0112068
2e+11;0.00469346;0.00210618;0.00497292
2.5e+11;0.00469346;-0.00150121;-0.000586352
-2.5e+11;0.0049397;-0.00174043;0.000480524
-2e+11;0.0049397;0.00240453;-0.00552758
-1.5e+11;0.0049397;0.00400342;0.0125567
-1e+11;0.0049397;-0.0245684;-0.0186022
-5e+10;0.0049397;-0.0120673;0.0910455
0;0.0049397;1.35245;0
5e+10;0.0049397;-0.0120673;-0.0910455
1e+11;0.0049397;-0.0245684;0.0186022
1.5e+11;0.0049397;0.00400342;-0.0125567
2e+11;0.0049397;0.00240453;0.00552758
2.5e+11;0.0049397;-0.00174043;-0.000480524
-2.5e+11;0.00518593;-0.00196856;0.00033401
-2e+11;0.00518593;0.00266896;-0.00603167
-1.5e+11;0.00518593;0.00455715;0.0138433
-1e+11;0.00518593;-0.027139;-0.0202516
-5e+10;0.00518593;-0.0137929;0.0931613
0;0.00518593;1.37068;0
5e+10;0.00518593;-0.0137929;-0.0931613
1e+11;0.00518593;-0.027139;0.0202516
1.5e+11;0.00518593;0.00455715;-0.0138433
2e+11;0.00518593;0.00266896;0.00603167
2.5e+11;0.00518593;-0.00196856;-0.00033401
-2.5e+11;0.00543216;-0.002183;0.000149526
-2e+11;0.00543216;0.00289402;-0.00648393
-1.5e+11;0.00543216;0.00516034;0.0150617
-1e+11;0.00543216;-0.029742;-0.021825
-5e+10;0.00543216;-0.0155863;0.0953145
0;0.00543216;1.38935;0
5e+10;0.00543216;-0.0155863;-0.0953145
1e+11;0.00543216;-0.029742;0.021825
1.5e+11;0.00543216;0.00516034;-0.0150617
2e+11;0.00543216;0.00289402;0.00648393
2.5e+11;0.00543216;-0.002183;-0.000149526
-2.5e+11;0.00567839;-0.00238284;-6.9806e-05
-2e+11;0.00567839;0.00307845;-0.00688586
-1.5e+11;0.00567839;0.0058126;0.0162121
-1e+11;0.00567839;-0.0323739;-0.0233231
-5e+10;0.00567839;-0.017443;0.0975124
0;0.00567839;1.40661;0
5e+10;0.00567839;-0.017443;-0.0975124
1e+11;0.00567839;-0.0323739;0.0233231
1.5e+11;0.00567839;0.0058126;-0.0162121
2e+11;0.00567839;0.00307845;0.00688586
2.5e+11;0.00567839;-0.00238284;6.9806e-05
-2.5e+11;0.00592462;-0.00256864;-0.000320008
-2e+11;0.00592462;0.00322447;-0.0072417
-1.5e+11;0.00592462;0.00651036;0.0172991
-1e+11;0.00592462;-0.0350304;-0.0247519
-5e+10;0.00592462;-0.0193544;0.0997602
0;0.00592462;1.42408;0
5e+10;0.00592462;-0.0193544;-0.0997602
1e+11;0.00592462;-0.0350304;0.0247519
1.5e+11;0.00592462;0.00651036;-0.0172991
2e+11;0.00592462;0.00322447;0.0072417
2.5e+11;0.00592462;-0.00256864;0.000320008
-2.5e+11;0.00617085;-0.00274198;-0.000596365
-2e+11;0.00617085;0.00333672;-0.00755774
-1.5e+11;0.00617085;0.00724793;0.0183309
-1e+11;0.00617085;-0.0377064;-0.0261215
-5e+10;0.00617085;-0.0213093;0.10206
0;0.00617085;1.44116;0
5e+10;0.00617085;-0.0213093;-0.10206
1e+11;0.00617085;-0.0377064;0.0261215
1.5e+11;0.00617085;0.00724793;-0.0183309
2e+11;0.00617085;0.00333672;0.00755774
2.5e+11;0.00617085;-0.00274198;0.000596365
-2.5e+11;0.00641708;-0.00290498;-0.000893878
-2e+11;0.00641708;0.00342112;-0.00784131
-1.5e+11;0.00641708;0.00801873;0.0193174
-1e+11;0.00641708;-0.0403976;-0.0274442
-5e+10;0.00641708;-0.0232964;0.10441
0;0.00641708;1.46213;0
5e+10;0.00641708;-0.0232964;-0.10441
1e+11;0.00641708;-0.0403976;0.0274442
1.5e+11;0.00641708;0.00801873;-0.0193174
2e+11;0.00641708;0.00342112;0.00784131
2.5e+11;0.00641708;-0.00290498;0.000893878
-2.5e+11;0.00666331;-0.00305986;-0.00120776
-2e+11;0.00666331;0.00348382;-0.00809975
-1.5e+11;0.00666331;0.00881628;0.0202689
-1e+11;0.00666331;-0.0430999;-0.0287323
-5e+10;0.00666331;-0.0253055;0.106807
0;0.00666331;1.47913;0
5e+10;0.00666331;-0.0253055;-0.106807
1e+11;0.00666331;-0.0430999;0.0287323
1.5e+11;0.00666331;0.00881628;-0.0202689
2e+11;0.00666331;0.00348382;0.00809975
2.5e+11;0.00666331;-0.00305986;0.00120776
-2.5e+11;0.00690954;-0.00320863;-0.0015337
-2e+11;0.00690954;0.00353056;-0.00833964
-1.5e+11;0.00690954;0.00963493;0.0211943
-1e+11;0.00690954;-0.0458104;-0.0299974
-5e+10;0.00690954;-0.0273283;0.109248
0;0.00690954;1.49792;0
5e+10;0.00690954;-0.0273283;-0.109248
1e+11;0.00690954;-0.0458104;0.0299974
1.5e+11;0.00690954;0.00963493;-0.0211943
2e+11;0.00690954;0.00353056;0.00833964
2.5e+11;0.00690954;-0.00320863;0.0015337
-2.5e+11;0.00715577;-0.00335299;-0.00186773
-2e+11;0.00715577;0.00356649;-0.00856634
-1.5e+11;0.00715577;0.0104703;0.0221018
-1e+11;0.00715577;-0.0485268;-0.0312499
-5e+10;0.00715577;-0.0293585;0.111727
0;0.00715577;1.51903;0
5e+10;0.00715577;-0.0293585;-0.111727
1e+11;0.00715577;-0.0485268;0.0312499
1.5e+11;0.00715577;0.0104703;-0.0221018
2e+11;0.00715577;0.00356649;0.00856634
2.5e+11;0.00715577;-0.00335299;0.00186773
-2.5e+11;0.00740201;-0.00349409;-0.0022062
-2e+11;0.00740201;0.00359609;-0.00878345
-1.5e+11;0.00740201;0.0113197;0.0229978
-1e+11;0.00740201;-0.0512473;-0.0324984
-5e+10;0.00740201;-0.0313931;0.114239
0;0.00740201;1.53558;0
5e+10;0.00740201;-0.0313931;-0.114239
1e+11;0.00740201;-0.0512473;0.0324984
1.5e+11;0.00740201;0.0113197;-0.0229978
2e+11;0.00740201;0.00359609;0.00878345
2.5e+11;0.00740201;-0.00349409;0.0022062
-2.5e+11;0.00764824;-0.00363234;-0.00254569
-2e+11;0.00764824;0.00362364;-0.00899257
-1.5e+11;0.00764824;0.0121826;0.0238872
-1e+11;0.00764824;-0.0539709;-0.0337511
-5e+10;0.00764824;-0.0334335;0.116776
0;0.00764824;1.55727;0
5e+10;0.00764824;-0.0334335;-0.116776
1e+11;0.00764824;-0.0539709;0.0337511
1.5e+11;0.00764824;0.0121826;-0.0238872
2e+11;0.00764824;0.00362364;0.00899257
2.5e+11;0.00764824;-0.00363234;0.00254569
-2.5e+11;0.00789447;-0.00376771;-0.00288312
-2e+11;0.00789447;0.00365353;-0.00919245
-1.5e+11;0.00789447;0.0130613;0.0247747
