"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
1.5e+11;0.00321608;-0.000833767;-0.00438113
2e+11;0.00321608;0.00115061;0.00156574
2.5e+11;0.00321608;-0.000574989;-0.000169981
-2.5e+11;0.00346231;-0.000879553;0.000260044
-2e+11;0.00346231;0.00175004;-0.00230464
-1.5e+11;0.00346231;-0.000967082;0.00603117
-1e+11;0.00346231;-0.00110249;0.000866853
-5e+10;0.00346231;-0.22439;-0.278502
0;0.00346231;7.76967e-19;0
5e+10;0.00346231;-0.22439;0.278502
1e+11;0.00346231;-0.00110249;-0.000866853
1.5e+11;0.00346231;-0.000967082;-0.00603117
2e+11;0.00346231;0.00175004;0.00230464
2.5e+11;0.00346231;-0.000879553;-0.000260044
-2.5e+11;0.00370854;-0.00124098;0.000313801
-2e+11;0.00370854;0.00247387;-0.00314061
-1.5e+11;0.00370854;-0.00111771;0.00789964
-1e+11;0.00370854;-0.00135425;-2.13317e-06
-5e+10;0.00370854;-0.232896;-0.283251
0;0.00370854;1.31677e-18;0
5e+10;0.00370854;-0.232896;0.283251
1e+11;0.00370854;-0.00135425;2.13317e-06
1.5e+11;0.00370854;-0.00111771;-0.00789964
2e+11;0.00370854;0.00247387;0.00314061
2.5e+11;0.00370854;-0.00124098;-0.000313801
-2.5e+11;0.00395477;-0.00162573;0.000282494
-2e+11;0.00395477;0.00327034;-0.00398306
-1.5e+11;0.00395477;-0.00128993;0.0098598
-1e+11;0.00395477;-0.00159277;-0.00087512
-5e+10;0.00395477;-0.241271;-0.287743
0;0.00395477;-9.16434e-19;0
5e+10;0.00395477;-0.241271;0.287743
1e+11;0.00395477;-0.00159277;0.00087512
1.5e+11;0.00395477;-0.00128993;-0.0098598
2e+11;0.00395477;0.00327034;0.00398306
2.5e+11;0.00395477;-0.00162573;-0.000282494
-2.5e+11;0.004201;-0.0020088;0.000151097
-2e+11;0.004201;0.00409154;-0.00478347
-1.5e+11;0.004201;-0.00146801;0.0118351
-1e+11;0.004201;-0.0018201;-0.0017067
-5e+10;0.004201;-0.249614;-0.292275
0;0.004201;-7.92475e-20;0
5e+10;0.004201;-0.249614;0.292275
1e+11;0.004201;-0.0018201;0.0017067
1.5e+11;0.004201;-0.00146801;-0.0118351
2e+11;0.004201;0.00409154;0.00478347
2.5e+11;0.004201;-0.0020088;-0.000151097
-2.5e+11;0.00444723;-0.0023738;-7.14355e-05
-2e+11;0.00444723;0.00489631;-0.00552586
-1.5e+11;0.00444723;-0.00162673;0.0137855
-1e+11;0.00444723;-0.00204663;-0.00248069
-5e+10;0.00444723;-0.257869;-0.296908
0;0.00444723;1.25876e-16;0
5e+10;0.00444723;-0.257869;0.296908
1e+11;0.00444723;-0.00204663;0.00248069
1.5e+11;0.00444723;-0.00162673;-0.0137855
2e+11;0.00444723;0.00489631;0.00552586
2.5e+11;0.00444723;-0.0023738;7.14355e-05
-2.5e+11;0.00469346;-0.00270965;-0.00037026
-2e+11;0.00469346;0.00565191;-0.00620738
-1.5e+11;0.00469346;-0.00174217;0.0156897
-1e+11;0.00469346;-0.00228425;-0.00319124
-5e+10;0.00469346;-0.265949;-0.301649
0;0.00469346;-5.54881e-19;0
5e+10;0.00469346;-0.265949;0.301649
1e+11;0.00469346;-0.00228425;0.00319124
1.5e+11;0.00469346;-0.00174217;-0.0156897
2e+11;0.00469346;0.00565191;0.00620738
2.5e+11;0.00469346;-0.00270965;0.00037026
-2.5e+11;0.0049397;-0.00300875;-0.000733176
-2e+11;0.0049397;0.00633405;-0.00682825
-1.5e+11;0.0049397;-0.00179652;0.0175354
-1e+11;0.0049397;-0.00254323;-0.0038347
-5e+10;0.0049397;-0.273783;-0.306509
0;0.0049397;-3.89106e-19;0
5e+10;0.0049397;-0.273783;0.306509
1e+11;0.0049397;-0.00254323;0.0038347
1.5e+11;0.0049397;-0.00179652;-0.0175354
2e+11;0.0049397;0.00633405;0.00682825
2.5e+11;0.0049397;-0.00300875;0.000733176
-2.5e+11;0.00518593;-0.00326615;-0.00115205
-2e+11;0.00518593;0.00692664;-0.00738941
-1.5e+11;0.00518593;-0.00177954;0.0193158
-1e+11;0.00518593;-0.00283118;-0.00440728
-5e+10;0.00518593;-0.281329;-0.31151
0;0.00518593;-1.65819e-17;0
5e+10;0.00518593;-0.281329;0.31151
1e+11;0.00518593;-0.00283118;0.00440728
1.5e+11;0.00518593;-0.00177954;-0.0193158
2e+11;0.00518593;0.00692664;0.00738941
