"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
-2.5e+11;0.001;-3.57327e-08;8.2872e-09
-2e+11;0.001;1.478e-07;-2.24055e-07
-1.5e+11;0.001;-5.41991e-07;1.84607e-06
-1e+11;0.001;-2.56387e-07;5.25603e-06
-5e+10;0.001;-0.00142837;-0.00188097
0;0.001;-1.18429e-19;0
5e+10;0.001;-0.00142837;0.00188097
1e+11;0.001;-2.56387e-07;-5.25603e-06
1.5e+11;0.001;-5.41991e-07;-1.84607e-06
2e+11;0.001;1.478e-07;2.24055e-07
2.5e+11;0.001;-3.57327e-08;-8.2872e-09
-2.5e+11;0.00124623;-1.02057e-07;2.41596e-08
-2e+11;0.00124623;3.50961e-07;-5.32681e-07
-1.5e+11;0.00124623;-1.05704e-06;3.57263e-06
-1e+11;0.00124623;-5.16827e-07;8.51858e-06
-5e+10;0.00124623;-0.00178237;-0.00234794
0;0.00124623;-9.05792e-20;0
5e+10;0.00124623;-0.00178237;0.00234794
1e+11;0.00124623;-5.16827e-07;-8.51858e-06
1.5e+11;0.00124623;-1.05704e-06;-3.57263e-06
2e+11;0.00124623;3.50961e-07;5.32681e-07
2.5e+11;0.00124623;-1.02057e-07;-2.41596e-08
-2.5e+11;0.00149246;-2.38888e-07;5.72988e-08
-2e+11;0.00149246;7.11304e-07;-1.08113e-06
-1.5e+11;0.00149246;-1.83086e-06;6.15325e-06
-1e+11;0.00149246;-9.45949e-07;1.27688e-05
-5e+10;0.00149246;-0.00213664;-0.00281518
0;0.00149246;2.59066e-19;0
5e+10;0.00149246;-0.00213664;0.00281518
1e+11;0.00149246;-9.45949e-07;-1.27688e-05
1.5e+11;0.00149246;-1.83086e-06;-6.15325e-06
2e+11;0.00149246;7.11304e-07;1.08113e-06
2.5e+11;0.00149246;-2.38888e-07;-5.72988e-08
-2.5e+11;0.00173869;-4.88396e-07;1.17864e-07
-2e+11;0.00173869;1.29621e-06;-1.97207e-06
-1.5e+11;0.00173869;-2.92033e-06;9.80021e-06
-1e+11;0.00173869;-1.61059e-06;1.80661e-05
-5e+10;0.00173869;-0.00248999;-0.00328038
0;0.00173869;7.43742e-20;0
5e+10;0.00173869;-0.00248999;0.00328038
1e+11;0.00173869;-1.61059e-06;-1.80661e-05
1.5e+11;0.00173869;-2.92033e-06;-9.80021e-06
2e+11;0.00173869;1.29621e-06;1.97207e-06
2.5e+11;0.00173869;-4.88396e-07;-1.17864e-07
-2.5e+11;0.00198492;-9.07916e-07;2.19234e-07
-2e+11;0.00198492;2.1972e-06;-3.34028e-06
-1.5e+11;0.00198492;-4.38146e-06;1.47878e-05
-1e+11;0.00198492;-2.59588e-06;2.43506e-05
-5e+10;0.00198492;-0.00284035;-0.00373947
0;0.00198492;-6.72795e-19;0
5e+10;0.00198492;-0.00284035;0.00373947
1e+11;0.00198492;-2.59588e-06;-2.43506e-05
1.5e+11;0.00198492;-4.38146e-06;-1.47878e-05
2e+11;0.00198492;2.1972e-06;3.34028e-06
2.5e+11;0.00198492;-9.07916e-07;-2.19234e-07
-2.5e+11;0.00223115;-1.58002e-06;3.81235e-07
-2e+11;0.00223115;3.55605e-06;-5.38012e-06
-1.5e+11;0.00223115;-6.26044e-06;2.15161e-05
-1e+11;0.00223115;-4.01288e-06;3.12947e-05
-5e+10;0.00223115;-0.00318409;-0.00418518
0;0.00223115;4.63096e-19;0
5e+10;0.00223115;-0.00318409;0.00418518
1e+11;0.00223115;-4.01288e-06;-3.12947e-05
1.5e+11;0.00223115;-6.26044e-06;-2.15161e-05
2e+11;0.00223115;3.55605e-06;5.38012e-06
2.5e+11;0.00223115;-1.58002e-06;-3.81235e-07
-2.5e+11;0.00247739;-2.63854e-06;6.41626e-07
-2e+11;0.00247739;5.62806e-06;-8.40985e-06
-1.5e+11;0.00247739;-8.56858e-06;3.06476e-05
-1e+11;0.00247739;-6.00755e-06;3.79984e-05
-5e+10;0.00247739;-0.00351478;-0.00460435
0;0.00247739;1.15349e-19;0
5e+10;0.00247739;-0.00351478;0.00460435
1e+11;0.00247739;-6.00755e-06;-3.79984e-05
1.5e+11;0.00247739;-8.56858e-06;-3.06476e-05
2e+11;0.00247739;5.62806e-06;8.40985e-06
2.5e+11;0.00247739;-2.63854e-06;-6.41626e-07
-2.5e+11;0.00272362;-4.32971e-06;1.09008e-06
-2e+11;0.00272362;8.91992e-06;-1.30151e-05
-1.5e+11;0.00272362;-1.1227e-05;4.33788e-05
-1e+11;0.00272362;-8.76105e-06;4.24696e-05
-5e+10;0.00272362;-0.00382117;-0.00497378
0;0.00272362;4.04377e-19;0
5e+10;0.00272362;-0.00382117;0.00497378
1e+11;0.00272362;-8.76105e-06;-4.24696e-05
1.5e+11;0.00272362;-1.1227e-05;-4.33788e-05
2e+11;0.00272362;8.91992e-06;1.30151e-05
2.5e+11;0.00272362;-4.32971e-06;-1.09008e-06
