"FREQ";"Y";"r xyce/I(PR2)";"i xyce/I(PR2)"
-2.5e+11;0.001;4.66954e-20;6.26346e-21
-2e+11;0.001;5.90531e-20;2.74529e-20
-1.5e+11;0.001;2.74032e-20;8.66819e-20
-1e+11;0.001;1.42103e-20;1.7915e-20
-5e+10;0.001;-1.55417e-19;0.0005
0;0.001;2.82187e-21;0
5e+10;0.001;-1.55417e-19;-0.0005
1e+11;0.001;1.42103e-20;-1.7915e-20
1.5e+11;0.001;2.74032e-20;-8.66819e-20
2e+11;0.001;5.90531e-20;-2.74529e-20
2.5e+11;0.001;4.66954e-20;-6.26346e-21
-2.5e+11;0.00116388;2.26981e-20;2.54438e-21
-2e+11;0.00116388;6.90389e-20;3.09611e-20
-1.5e+11;0.00116388;4.73618e-20;5.49201e-20
-1e+11;0.00116388;4.2029e-20;6.44429e-20
-5e+10;0.00116388;-1.76548e-19;0.00058194
0;0.00116388;-2.30476e-20;0
5e+10;0.00116388;-1.76548e-19;-0.00058194
1e+11;0.00116388;4.2029e-20;-6.44429e-20
1.5e+11;0.00116388;4.73618e-20;-5.49201e-20
2e+11;0.00116388;6.90389e-20;-3.09611e-20
2.5e+11;0.00116388;2.26981e-20;-2.54438e-21
-2.5e+11;0.00132776;3.93836e-20;-4.55522e-20
-2e+11;0.00132776;7.85609e-20;4.04449e-20
-1.5e+11;0.00132776;5.95057e-20;1.04644e-19
-1e+11;0.00132776;2.38838e-20;1.0781e-19
-5e+10;0.00132776;-2.06672e-19;0.00066388
0;0.00132776;-8.28178e-21;0
5e+10;0.00132776;-2.06672e-19;-0.00066388
1e+11;0.00132776;2.38838e-20;-1.0781e-19
1.5e+11;0.00132776;5.95057e-20;-1.04644e-19
2e+11;0.00132776;7.85609e-20;-4.04449e-20
2.5e+11;0.00132776;3.93836e-20;4.55522e-20
-2.5e+11;0.00149164;6.42366e-20;-1.01746e-19
-2e+11;0.00149164;1.01955e-19;-4.60964e-20
-1.5e+11;0.00149164;6.77839e-20;2.00152e-19
-1e+11;0.00149164;2.36609e-20;1.54429e-20
-5e+10;0.00149164;-2.63116e-19;0.00074582
0;0.00149164;-1.82387e-20;0
5e+10;0.00149164;-2.63116e-19;-0.00074582
1e+11;0.00149164;2.36609e-20;-1.54429e-20
1.5e+11;0.00149164;6.77839e-20;-2.00152e-19
2e+11;0.00149164;1.01955e-19;4.60964e-20
2.5e+11;0.00149164;6.42366e-20;1.01746e-19
-2.5e+11;0.00165552;3.41494e-20;-3.86614e-20
-2e+11;0.00165552;1.03791e-19;-1.53545e-20
-1.5e+11;0.00165552;1.15483e-19;1.33746e-19
-1e+11;0.00165552;-5.35671e-21;4.85011e-20
-5e+10;0.00165552;-2.81474e-19;0.00082776
0;0.00165552;4.06899e-20;0
5e+10;0.00165552;-2.81474e-19;-0.00082776
1e+11;0.00165552;-5.35671e-21;-4.85011e-20
1.5e+11;0.00165552;1.15483e-19;-1.33746e-19
2e+11;0.00165552;1.03791e-19;1.53545e-20
2.5e+11;0.00165552;3.41494e-20;3.86614e-20
-2.5e+11;0.0018194;7.54204e-20;-1.47585e-20
-2e+11;0.0018194;8.49225e-20;1.41214e-20
-1.5e+11;0.0018194;7.8728e-20;1.81047e-19
-1e+11;0.0018194;6.97961e-20;6.33142e-20
-5e+10;0.0018194;-2.84794e-19;0.0009097
0;0.0018194;-8.21487e-20;0
5e+10;0.0018194;-2.84794e-19;-0.0009097
1e+11;0.0018194;6.97961e-20;-6.33142e-20
1.5e+11;0.0018194;7.8728e-20;-1.81047e-19
2e+11;0.0018194;8.49225e-20;-1.41214e-20
2.5e+11;0.0018194;7.54204e-20;1.47585e-20
-2.5e+11;0.00198328;4.33013e-20;-3.38238e-20
-2e+11;0.00198328;1.24443e-19;9.16723e-20
-1.5e+11;0.00198328;6.64883e-20;2.23099e-19
-1e+11;0.00198328;8.61271e-20;5.05631e-20
-5e+10;0.00198328;-2.90993e-19;0.00099164
0;0.00198328;-3.11094e-19;0
5e+10;0.00198328;-2.90993e-19;-0.00099164
1e+11;0.00198328;8.61271e-20;-5.05631e-20
1.5e+11;0.00198328;6.64883e-20;-2.23099e-19
2e+11;0.00198328;1.24443e-19;-9.16723e-20
2.5e+11;0.00198328;4.33013e-20;3.38238e-20
-2.5e+11;0.00214716;1.12018e-19;-1.25953e-19
-2e+11;0.00214716;1.11934e-19;-2.8736e-20
-1.5e+11;0.00214716;6.41937e-20;2.46785e-19
-1e+11;0.00214716;3.74981e-20;1.37533e-19
-5e+10;0.00214716;-3.33568e-19;0.00107358
0;0.00214716;2.83951e-20;0
5e+10;0.00214716;-3.33568e-19;-0.00107358
1e+11;0.00214716;3.74981e-20;-1.37533e-19
1.5e+11;0.00214716;6.41937e-20;-2.46785e-19
2e+11;0.00214716;1.11934e-19;2.8736e-20
2.5e+11;0.00214716;1.12018e-19;1.25953e-19
-2.5e+11;0.00231104;6.85963e-20;1.38707e-19
-2e+11;0.00231104;1.48016e-19;-7.08733e-21
-1.5e+11;0.00231104;1.07471e-19;2.98389e-21
-1e+11;0.00231104;7.13339e-20;9.86072e-20
-5e+10;0.00231104;-3.9746e-19;0.00115552
0;0.00231104;3.44718e-17;0
5e+10;0.00231104;-3.9746e-19;-0.00115552
1e+11;0.00231104;7.13339e-20;-9.86072e-20
1.5e+11;0.00231104;1.07471e-19;-2.98389e-21
2e+11;0.00231104;1.48016e-19;7.08733e-21
2.5e+11;0.00231104;6.85963e-20;-1.38707e-19
-2.5e+11;0.00247492;7.2459e-20;-4.84934e-21
-2e+11;0.00247492;1.33665e-19;1.1715e-19
-1.5e+11;0.00247492;1.40871e-19;1.32294e-19
-1e+11;0.00247492;1.03066e-20;1.31548e-19
-5e+10;0.00247492;-3.99199e-19;0.00123746
0;0.00247492;-1.40201e-16;0
5e+10;0.00247492;-3.99199e-19;-0.00123746
1e+11;0.00247492;1.03066e-20;-1.31548e-19
1.5e+11;0.00247492;1.40871e-19;-1.32294e-19
2e+11;0.00247492;1.33665e-19;-1.1715e-19
2.5e+11;0.00247492;7.2459e-20;4.84934e-21
-2.5e+11;0.0026388;1.09749e-19;6.48933e-20
-2e+11;0.0026388;1.45542e-19;1.24925e-19
-1.5e+11;0.0026388;1.70215e-19;8.9972e-20
-1e+11;0.0026388;-3.87291e-20;2.49281e-19
-5e+10;0.0026388;-4.55707e-19;0.0013194
0;0.0026388;-1.93204e-16;0
5e+10;0.0026388;-4.55707e-19;-0.0013194
1e+11;0.0026388;-3.87291e-20;-2.49281e-19
1.5e+11;0.0026388;1.70215e-19;-8.9972e-20
2e+11;0.0026388;1.45542e-19;-1.24925e-19
2.5e+11;0.0026388;1.09749e-19;-6.48933e-20
-2.5e+11;0.00280268;1.14935e-19;4.01344e-20
-2e+11;0.00280268;1.84551e-19;1.52861e-19
-1.5e+11;0.00280268;1.24724e-19;1.88311e-19
-1e+11;0.00280268;3.70376e-20;-7.44347e-21
-5e+10;0.00280268;-4.67827e-19;0.00140134
0;0.00280268;-2.74298e-16;0
5e+10;0.00280268;-4.67827e-19;-0.00140134
1e+11;0.00280268;3.70376e-20;7.44347e-21
1.5e+11;0.00280268;1.24724e-19;-1.88311e-19
2e+11;0.00280268;1.84551e-19;-1.52861e-19
2.5e+11;0.00280268;1.14935e-19;-4.01344e-20
-2.5e+11;0.00296656;1.31514e-19;-3.93984e-20
-2e+11;0.00296656;1.18175e-19;1.57691e-19
-1.5e+11;0.00296656;1.26779e-19;3.54852e-19
-1e+11;0.00296656;1.18957e-19;2.89948e-23
-5e+10;0.00296656;-4.80108e-19;0.00148328
0;0.00296656;2.44443e-16;0
5e+10;0.00296656;-4.80108e-19;-0.00148328
1e+11;0.00296656;1.18957e-19;-2.89948e-23
1.5e+11;0.00296656;1.26779e-19;-3.54852e-19
2e+11;0.00296656;1.18175e-19;-1.57691e-19
2.5e+11;0.00296656;1.31514e-19;3.93984e-20
-2.5e+11;0.00313044;1.12041e-19;-3.93173e-20
-2e+11;0.00313044;1.40596e-19;2.36637e-19
-1.5e+11;0.00313044;1.43455e-19;3.15469e-19
-1e+11;0.00313044;4.09279e-20;5.92201e-20
-5e+10;0.00313044;-4.98777e-19;0.00156522
0;0.00313044;-3.21606e-15;0
5e+10;0.00313044;-4.98777e-19;-0.00156522
1e+11;0.00313044;4.09279e-20;-5.92201e-20
1.5e+11;0.00313044;1.43455e-19;-3.15469e-19
2e+11;0.00313044;1.40596e-19;-2.36637e-19
2.5e+11;0.00313044;1.12041e-19;3.93173e-20
-2.5e+11;0.00329432;1.07639e-19;-1.1828e-19
-2e+11;0.00329432;2.31956e-19;-7.88055e-20
-1.5e+11;0.00329432;1.37348e-19;2.95689e-19
-1e+11;0.00329432;-1.74759e-20;3.94304e-20
-5e+10;0.00329432;-5.03519e-19;0.00164716
0;0.00329432;4.03602e-16;0
5e+10;0.00329432;-5.03519e-19;-0.00164716
1e+11;0.00329432;-1.74759e-20;-3.94304e-20
1.5e+11;0.00329432;1.37348e-19;-2.95689e-19
2e+11;0.00329432;2.31956e-19;7.88055e-20
2.5e+11;0.00329432;1.07639e-19;1.1828e-19
-2.5e+11;0.0034582;8.75925e-20;1.13045e-19
-2e+11;0.0034582;1.40431e-19;6.82728e-20
-1.5e+11;0.0034582;1.95816e-19;6.41267e-20
-1e+11;0.0034582;1.3675e-19;-2.20085e-20
-5e+10;0.0034582;-5.78773e-19;0.0017291
0;0.0034582;1.64306e-15;0
5e+10;0.0034582;-5.78773e-19;-0.0017291
1e+11;0.0034582;1.3675e-19;2.20085e-20
1.5e+11;0.0034582;1.95816e-19;-6.41267e-20
2e+11;0.0034582;1.40431e-19;-6.82728e-20
2.5e+11;0.0034582;8.75925e-20;-1.13045e-19
-2.5e+11;0.00362208;2.16263e-19;7.96602e-20
-2e+11;0.00362208;8.94673e-20;1.41223e-21
-1.5e+11;0.00362208;1.89364e-19;1.57858e-19
-1e+11;0.00362208;9.96319e-20;2.35132e-19
-5e+10;0.00362208;-6.01532e-19;0.00181104
0;0.00362208;8.86917e-15;0
5e+10;0.00362208;-6.01532e-19;-0.00181104
1e+11;0.00362208;9.96319e-20;-2.35132e-19
1.5e+11;0.00362208;1.89364e-19;-1.57858e-19
2e+11;0.00362208;8.94673e-20;-1.41223e-21
2.5e+11;0.00362208;2.16263e-19;-7.96602e-20
-2.5e+11;0.00378596;1.17508e-19;-2.61799e-20
-2e+11;0.00378596;2.86505e-19;2.32582e-19
-1.5e+11;0.00378596;1.04452e-19;2.67186e-19
-1e+11;0.00378596;2.75728e-20;6.10308e-20
-5e+10;0.00378596;-5.68028e-19;0.00189298
0;0.00378596;4.80722e-15;0
5e+10;0.00378596;-5.68028e-19;-0.00189298
1e+11;0.00378596;2.75728e-20;-6.10308e-20
1.5e+11;0.00378596;1.04452e-19;-2.67186e-19
2e+11;0.00378596;2.86505e-19;-2.32582e-19
2.5e+11;0.00378596;1.17508e-19;2.61799e-20
-2.5e+11;0.00394984;1.39883e-19;1.96868e-19
-2e+11;0.00394984;2.48544e-19;3.80934e-19
-1.5e+11;0.00394984;1.35011e-19;1.73921e-19
-1e+11;0.00394984;-3.35291e-20;-8.09786e-20
-5e+10;0.00394984;-5.98274e-19;0.00197492
0;0.00394984;7.20487e-13;0
5e+10;0.00394984;-5.98274e-19;-0.00197492
1e+11;0.00394984;-3.35291e-20;8.09786e-20
1.5e+11;0.00394984;1.35011e-19;-1.73921e-19
2e+11;0.00394984;2.48544e-19;-3.80934e-19
2.5e+11;0.00394984;1.39883e-19;-1.96868e-19
-2.5e+11;0.00411372;1.36415e-19;-6.74397e-20
-2e+11;0.00411372;2.8159e-19;1.82479e-19
-1.5e+11;0.00411372;1.18709e-19;3.50336e-19
-1e+11;0.00411372;1.69013e-20;1.35551e-19
-5e+10;0.00411372;-6.42071e-19;0.00205686
0;0.00411372;-1.62379e-17;0
5e+10;0.00411372;-6.42071e-19;-0.00205686
1e+11;0.00411372;1.69013e-20;-1.35551e-19
1.5e+11;0.00411372;1.18709e-19;-3.50336e-19
2e+11;0.00411372;2.8159e-19;-1.82479e-19
2.5e+11;0.00411372;1.36415e-19;6.74397e-20
-2.5e+11;0.0042776;1.69224e-19;-8.14756e-21
-2e+11;0.0042776;3.01452e-19;1.54946e-19
-1.5e+11;0.0042776;1.78608e-19;1.49109e-19
-1e+11;0.0042776;1.13909e-20;-1.65777e-19
-5e+10;0.0042776;-7.306e-19;0.0021388
0;0.0042776;2.84227e-15;0
5e+10;0.0042776;-7.306e-19;-0.0021388
1e+11;0.0042776;1.13909e-20;1.65777e-19
1.5e+11;0.0042776;1.78608e-19;-1.49109e-19
2e+11;0.0042776;3.01452e-19;-1.54946e-19
2.5e+11;0.0042776;1.69224e-19;8.14756e-21
-2.5e+11;0.00444148;1.21234e-19;-3.1298e-19
-2e+11;0.00444148;2.74313e-19;7.70701e-21
-1.5e+11;0.00444148;3.11675e-19;6.87968e-19
-1e+11;0.00444148;3.78479e-20;-3.25708e-21
-5e+10;0.00444148;-7.60391e-19;0.00222074
0;0.00444148;-1.21714e-15;0
5e+10;0.00444148;-7.60391e-19;-0.00222074
1e+11;0.00444148;3.78479e-20;3.25708e-21
1.5e+11;0.00444148;3.11675e-19;-6.87968e-19
2e+11;0.00444148;2.74313e-19;-7.70701e-21
2.5e+11;0.00444148;1.21234e-19;3.1298e-19
-2.5e+11;0.00460536;1.26053e-20;-5.90813e-20
-2e+11;0.00460536;3.53348e-19;-4.87403e-20
-1.5e+11;0.00460536;3.08701e-19;3.04252e-19
-1e+11;0.00460536;2.37214e-20;1.04465e-19
-5e+10;0.00460536;-7.60055e-19;0.00230268
0;0.00460536;2.05569e-14;0
5e+10;0.00460536;-7.60055e-19;-0.00230268
1e+11;0.00460536;2.37214e-20;-1.04465e-19
1.5e+11;0.00460536;3.08701e-19;-3.04252e-19
2e+11;0.00460536;3.53348e-19;4.87403e-20
2.5e+11;0.00460536;1.26053e-20;5.90813e-20
-2.5e+11;0.00476924;1.2261e-19;-6.58197e-21
-2e+11;0.00476924;2.6664e-19;2.21378e-19
-1.5e+11;0.00476924;2.51444e-19;1.99039e-19
-1e+11;0.00476924;5.97495e-20;1.69071e-19
-5e+10;0.00476924;-7.68864e-19;0.00238462
0;0.00476924;-1.55272e-15;0
5e+10;0.00476924;-7.68864e-19;-0.00238462
1e+11;0.00476924;5.97495e-20;-1.69071e-19
1.5e+11;0.00476924;2.51444e-19;-1.99039e-19
2e+11;0.00476924;2.6664e-19;-2.21378e-19
2.5e+11;0.00476924;1.2261e-19;6.58197e-21
-2.5e+11;0.00493312;2.93551e-19;-3.02952e-19
-2e+11;0.00493312;1.45179e-19;1.42197e-19
-1.5e+11;0.00493312;1.7877e-19;5.77164e-19
-1e+11;0.00493312;1.19693e-19;1.66354e-19
-5e+10;0.00493312;-8.30925e-19;0.00246656
0;0.00493312;-9.75129e-16;0
5e+10;0.00493312;-8.30925e-19;-0.00246656
1e+11;0.00493312;1.19693e-19;-1.66354e-19
1.5e+11;0.00493312;1.7877e-19;-5.77164e-19
2e+11;0.00493312;1.45179e-19;-1.42197e-19
2.5e+11;0.00493312;2.93551e-19;3.02952e-19
-2.5e+11;0.005097;1.23642e-19;-3.96014e-20
-2e+11;0.005097;3.1357e-19;1.72802e-19
-1.5e+11;0.005097;1.93063e-19;3.11181e-19
-1e+11;0.005097;3.23248e-20;1.23581e-19
-5e+10;0.005097;-7.28867e-19;0.0025485
0;0.005097;4.33895e-15;0
5e+10;0.005097;-7.28867e-19;-0.0025485
1e+11;0.005097;3.23248e-20;-1.23581e-19
1.5e+11;0.005097;1.93063e-19;-3.11181e-19
2e+11;0.005097;3.1357e-19;-1.72802e-19
2.5e+11;0.005097;1.23642e-19;3.96014e-20
-2.5e+11;0.00526088;1.24279e-19;2.13292e-19
-2e+11;0.00526088;1.40233e-19;4.60499e-19
-1.5e+11;0.00526088;3.28484e-19;3.21488e-19
-1e+11;0.00526088;1.58844e-19;7.78281e-20
-5e+10;0.00526088;-8.55635e-19;0.00263044
0;0.00526088;-8.72973e-15;0
5e+10;0.00526088;-8.55635e-19;-0.00263044
1e+11;0.00526088;1.58844e-19;-7.78281e-20
1.5e+11;0.00526088;3.28484e-19;-3.21488e-19
2e+11;0.00526088;1.40233e-19;-4.60499e-19
2.5e+11;0.00526088;1.24279e-19;-2.13292e-19
-2.5e+11;0.00542476;2.47268e-19;-1.98709e-20
-2e+11;0.00542476;3.75573e-19;7.98419e-21
-1.5e+11;0.00542476;1.39022e-19;3.85308e-19
-1e+11;0.00542476;8.55557e-20;-5.97712e-20
-5e+10;0.00542476;-8.59501e-19;0.00271238
0;0.00542476;6.02098e-14;0
5e+10;0.00542476;-8.59501e-19;-0.00271238
1e+11;0.00542476;8.55557e-20;5.97712e-20
1.5e+11;0.00542476;1.39022e-19;-3.85308e-19
2e+11;0.00542476;3.75573e-19;-7.98419e-21
2.5e+11;0.00542476;2.47268e-19;1.98709e-20
-2.5e+11;0.00558864;2.78969e-19;1.05484e-19
-2e+11;0.00558864;2.36035e-19;6.25857e-20
-1.5e+11;0.00558864;2.12353e-19;-7.14194e-21
-1e+11;0.00558864;1.89604e-19;1.05817e-19
-5e+10;0.00558864;-9.30381e-19;0.00279432
0;0.00558864;2.89283e-14;0
5e+10;0.00558864;-9.30381e-19;-0.00279432
1e+11;0.00558864;1.89604e-19;-1.05817e-19
1.5e+11;0.00558864;2.12353e-19;7.14194e-21
2e+11;0.00558864;2.36035e-19;-6.25857e-20
2.5e+11;0.00558864;2.78969e-19;-1.05484e-19
-2.5e+11;0.00575252;2.00875e-19;-7.37134e-20
-2e+11;0.00575252;2.80845e-19;2.10934e-19
-1.5e+11;0.00575252;2.64107e-19;4.70257e-19
-1e+11;0.00575252;9.05519e-20;3.79714e-19
-5e+10;0.00575252;-9.58371e-19;0.00287626
0;0.00575252;-1.07347e-12;0
5e+10;0.00575252;-9.58371e-19;-0.00287626
1e+11;0.00575252;9.05519e-20;-3.79714e-19
1.5e+11;0.00575252;2.64107e-19;-4.70257e-19
2e+11;0.00575252;2.80845e-19;-2.10934e-19
2.5e+11;0.00575252;2.00875e-19;7.37134e-20
-2.5e+11;0.0059164;1.03535e-19;-3.53764e-19
-2e+11;0.0059164;2.352e-19;-8.45997e-20
-1.5e+11;0.0059164;3.32505e-19;5.91255e-19
-1e+11;0.0059164;1.95956e-19;-8.76068e-20
-5e+10;0.0059164;-9.18057e-19;0.0029582
0;0.0059164;3.36401e-13;0
5e+10;0.0059164;-9.18057e-19;-0.0029582
1e+11;0.0059164;1.95956e-19;8.76068e-20
1.5e+11;0.0059164;3.32505e-19;-5.91255e-19
2e+11;0.0059164;2.352e-19;8.45997e-20
2.5e+11;0.0059164;1.03535e-19;3.53764e-19
-2.5e+11;0.00608028;3.84452e-19;2.58491e-19
