"FREQ";"Y";"r xyce/V(IVPROPE)";"i xyce/V(IVPROPE)"
-1e+11;0.001;-8.01218e-19;-1.52611e-18
-5e+10;0.001;5.78189e-18;-0.025
0;0.001;3.44214e-17;0
5e+10;0.001;5.78189e-18;0.025
1e+11;0.001;-8.01218e-19;1.52611e-18
1.5e+11;0.001;-2.03961e-18;4.43688e-18
2e+11;0.001;-2.63561e-18;9.85605e-19
2.5e+11;0.001;-1.8189e-18;-9.85645e-19
-2.5e+11;0.0011;-1.807e-18;5.27255e-23
-2e+11;0.0011;-3.23318e-18;1.34645e-22
-1.5e+11;0.0011;-2.26273e-18;-4.92749e-18
-1e+11;0.0011;-1.32341e-18;5.26477e-19
-5e+10;0.0011;7.96095e-18;-0.0275
0;0.0011;6.68581e-17;0
5e+10;0.0011;7.96095e-18;0.0275
1e+11;0.0011;-1.32341e-18;-5.26477e-19
1.5e+11;0.0011;-2.26273e-18;4.92749e-18
2e+11;0.0011;-3.23318e-18;-1.34645e-22
2.5e+11;0.0011;-1.807e-18;-5.27255e-23
-2.5e+11;0.0012;-1.80413e-18;9.85754e-19
-2e+11;0.0012;-4.01479e-18;-1.97085e-18
-1.5e+11;0.0012;-2.9968e-18;-4.43407e-18
-1e+11;0.0012;-3.11331e-19;0
-5e+10;0.0012;9.19746e-18;-0.03
0;0.0012;3.44062e-16;0
5e+10;0.0012;9.19746e-18;0.03
1e+11;0.0012;-3.11331e-19;0
1.5e+11;0.0012;-2.9968e-18;4.43407e-18
2e+11;0.0012;-4.01479e-18;1.97085e-18
2.5e+11;0.0012;-1.80413e-18;-9.85754e-19
-2.5e+11;0.0013;-2.61914e-18;-1.97115e-18
-2e+11;0.0013;-2.81478e-18;-1.97295e-18
-1.5e+11;0.0013;-2.83712e-18;-4.92808e-18
-1e+11;0.0013;-1.37386e-18;0
-5e+10;0.0013;1.18239e-17;-0.0325
0;0.0013;-1.27701e-17;0
5e+10;0.0013;1.18239e-17;0.0325
1e+11;0.0013;-1.37386e-18;0
1.5e+11;0.0013;-2.83712e-18;4.92808e-18
2e+11;0.0013;-2.81478e-18;1.97295e-18
2.5e+11;0.0013;-2.61914e-18;1.97115e-18
-2.5e+11;0.0014;-3.05695e-18;-2.95681e-18
-2e+11;0.0014;-3.24006e-18;1.5214e-22
-1.5e+11;0.0014;-2.74612e-18;-9.84841e-19
-1e+11;0.0014;-1.29315e-18;-6.20466e-18
-5e+10;0.0014;9.89807e-18;-0.035
0;0.0014;3.12053e-17;0
5e+10;0.0014;9.89807e-18;0.035
1e+11;0.0014;-1.29315e-18;6.20466e-18
1.5e+11;0.0014;-2.74612e-18;9.84841e-19
2e+11;0.0014;-3.24006e-18;-1.5214e-22
2.5e+11;0.0014;-3.05695e-18;2.95681e-18
-2.5e+11;0.0015;-2.84912e-18;9.85468e-19
-2e+11;0.0015;-4.49363e-18;1.97158e-18
-1.5e+11;0.0015;-3.05693e-18;-4.92783e-18
-1e+11;0.0015;-4.93434e-19;-3.32875e-18
-5e+10;0.0015;1.24126e-17;-0.0375
0;0.0015;7.34993e-17;0
5e+10;0.0015;1.24126e-17;0.0375
1e+11;0.0015;-4.93434e-19;3.32875e-18
1.5e+11;0.0015;-3.05693e-18;4.92783e-18
2e+11;0.0015;-4.49363e-18;-1.97158e-18
2.5e+11;0.0015;-2.84912e-18;-9.85468e-19
-2.5e+11;0.0016;-3.69652e-18;1.97122e-18
-2e+11;0.0016;-3.97331e-18;-3.9401e-18
-1.5e+11;0.0016;-3.80973e-18;-4.42534e-18
-1e+11;0.0016;-4.03422e-19;-1.98216e-18
-5e+10;0.0016;1.19669e-17;-0.04
0;0.0016;5.19247e-18;0
5e+10;0.0016;1.19669e-17;0.04
1e+11;0.0016;-4.03422e-19;1.98216e-18
1.5e+11;0.0016;-3.80973e-18;4.42534e-18
2e+11;0.0016;-3.97331e-18;3.9401e-18
2.5e+11;0.0016;-3.69652e-18;-1.97122e-18
-2.5e+11;0.0017;-3.21658e-18;2.95728e-18
-2e+11;0.0017;-5.12212e-18;-1.97255e-18
-1.5e+11;0.0017;-2.66767e-18;-7.88004e-18
-1e+11;0.0017;-8.1164e-19;-2.48191e-18
-5e+10;0.0017;1.23665e-17;-0.0425
0;0.0017;-1.9781e-16;0
5e+10;0.0017;1.23665e-17;0.0425
1e+11;0.0017;-8.1164e-19;2.48191e-18
1.5e+11;0.0017;-2.66767e-18;7.88004e-18
2e+11;0.0017;-5.12212e-18;1.97255e-18
2.5e+11;0.0017;-3.21658e-18;-2.95728e-18
-2.5e+11;0.0018;-3.59087e-18;9.85558e-19
-2e+11;0.0018;-4.27756e-18;-3.94145e-18
-1.5e+11;0.0018;-3.29554e-18;-7.37413e-18
-1e+11;0.0018;-9.87103e-19;-2.92534e-18
-5e+10;0.0018;1.45257e-17;-0.045
0;0.0018;7.82075e-17;0
5e+10;0.0018;1.45257e-17;0.045
1e+11;0.0018;-9.87103e-19;2.92534e-18
1.5e+11;0.0018;-3.29554e-18;7.37413e-18
2e+11;0.0018;-4.27756e-18;3.94145e-18
2.5e+11;0.0018;-3.59087e-18;-9.85558e-19
-2.5e+11;0.0019;-3.70784e-18;4.1653e-22
-2e+11;0.0019;-5.06599e-18;-1.97411e-18
-1.5e+11;0.0019;-4.40051e-18;-8.37926e-18
-1e+11;0.0019;-1.01939e-18;-6.63039e-18
-5e+10;0.0019;1.38873e-17;-0.0475
0;0.0019;1.92477e-16;0
5e+10;0.0019;1.38873e-17;0.0475
1e+11;0.0019;-1.01939e-18;6.63039e-18
1.5e+11;0.0019;-4.40051e-18;8.37926e-18
2e+11;0.0019;-5.06599e-18;1.97411e-18
2.5e+11;0.0019;-3.70784e-18;-4.1653e-22
-2.5e+11;0.002;-3.63629e-18;1.97065e-18
-2e+11;0.002;-5.2742e-18;-1.97403e-18
-1.5e+11;0.002;-4.07991e-18;-8.87338e-18
-1e+11;0.002;-1.65932e-18;-2.85798e-18
-5e+10;0.002;1.72267e-17;-0.05
0;0.002;7.27286e-16;0
5e+10;0.002;1.72267e-17;0.05
1e+11;0.002;-1.65932e-18;2.85798e-18
1.5e+11;0.002;-4.07991e-18;8.87338e-18
2e+11;0.002;-5.2742e-18;1.97403e-18
2.5e+11;0.002;-3.63629e-18;-1.97065e-18
