"FREQ";"Y";"r xyce/I(PR3)";"i xyce/I(PR3)"
-2.5e+11;0.0001;5.07348e-15;-3.06233e-13
-2e+11;0.0001;-1.74435e-11;-3.7165e-12
-1.5e+11;0.0001;-2.01192e-09;1.64046e-09
-1e+11;0.0001;2.19633e-08;3.27395e-07
-5e+10;0.0001;-0.0002689;-0.000156708
0;0.0001;1.7203e-20;0
5e+10;0.0001;-0.0002689;0.000156708
1e+11;0.0001;2.19633e-08;-3.27395e-07
1.5e+11;0.0001;-2.01192e-09;-1.64046e-09
2e+11;0.0001;-1.74435e-11;3.7165e-12
2.5e+11;0.0001;5.07348e-15;3.06233e-13
-2.5e+11;0.000220408;3.41576e-13;-1.58077e-11
-2e+11;0.000220408;-4.14015e-10;-8.90849e-11
-1.5e+11;0.000220408;-2.16175e-08;1.75646e-08
-1e+11;0.000220408;1.07508e-07;1.59213e-06
-5e+10;0.000220408;-0.00059256;-0.000345352
0;0.000220408;-1.26034e-21;0
5e+10;0.000220408;-0.00059256;0.000345352
1e+11;0.000220408;1.07508e-07;-1.59213e-06
1.5e+11;0.000220408;-2.16175e-08;-1.75646e-08
2e+11;0.000220408;-4.14015e-10;8.90849e-11
2.5e+11;0.000220408;3.41576e-13;1.58077e-11
-2.5e+11;0.000340816;2.96143e-12;-1.39154e-10
-2e+11;0.000340816;-2.39102e-09;-5.23613e-10
-1.5e+11;0.000340816;-8.04171e-08;6.49485e-08
-1e+11;0.000340816;2.60405e-07;3.81409e-06
-5e+10;0.000340816;-0.000915962;-0.000533899
0;0.000340816;5.07545e-20;0
5e+10;0.000340816;-0.000915962;0.000533899
1e+11;0.000340816;2.60405e-07;-3.81409e-06
1.5e+11;0.000340816;-8.04171e-08;-6.49485e-08
2e+11;0.000340816;-2.39102e-09;5.23613e-10
2.5e+11;0.000340816;2.96143e-12;1.39154e-10
-2.5e+11;0.000461224;1.02217e-11;-6.31431e-10
-2e+11;0.000461224;-8.13949e-09;-1.82841e-09
-1.5e+11;0.000461224;-2.01081e-07;1.61058e-07
-1e+11;0.000461224;4.8548e-07;7.00532e-06
-5e+10;0.000461224;-0.00123898;-0.000722315
0;0.000461224;-1.33564e-19;0
5e+10;0.000461224;-0.00123898;0.000722315
1e+11;0.000461224;4.8548e-07;-7.00532e-06
1.5e+11;0.000461224;-2.01081e-07;-1.61058e-07
2e+11;0.000461224;-8.13949e-09;1.82841e-09
2.5e+11;0.000461224;1.02217e-11;6.31431e-10
-2.5e+11;0.000581632;1.45636e-11;-2.02285e-09
