"FREQ";"Y";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-1.5e+11;0.00118367;-0.00019252;0.000141793
-1e+11;0.00118367;0.000187281;0.00242895
-5e+10;0.00118367;-0.158166;-0.0925992
0;0.00118367;3.03299e-22;0
5e+10;0.00118367;-0.158166;0.0925992
1e+11;0.00118367;0.000187281;-0.00242895
1.5e+11;0.00118367;-0.00019252;-0.000141793
2e+11;0.00118367;-2.22356e-05;6.66792e-06
2.5e+11;0.00118367;-2.00936e-07;4.11219e-06
-2.5e+11;0.00130408;-3.5629e-07;-7.20605e-06
-2e+11;0.00130408;-3.53559e-05;-1.12815e-05
-1.5e+11;0.00130408;-0.000267641;0.000193569
-1e+11;0.00130408;0.00023269;0.00300152
-5e+10;0.00130408;-0.174053;-0.102066
0;0.00130408;4.49427e-20;0
5e+10;0.00130408;-0.174053;0.102066
1e+11;0.00130408;0.00023269;-0.00300152
1.5e+11;0.00130408;-0.000267641;-0.000193569
2e+11;0.00130408;-3.53559e-05;1.12815e-05
2.5e+11;0.00130408;-3.5629e-07;7.20605e-06
-2.5e+11;0.00142449;-4.9927e-07;-1.24447e-05
-2e+11;0.00142449;-5.53783e-05;-1.88574e-05
-1.5e+11;0.00142449;-0.000366029;0.000259569
-1e+11;0.00142449;0.000282646;0.00366211
-5e+10;0.00142449;-0.189883;-0.111581
0;0.00142449;2.1022e-20;0
5e+10;0.00142449;-0.189883;0.111581
1e+11;0.00142449;0.000282646;-0.00366211
1.5e+11;0.00142449;-0.000366029;-0.000259569
2e+11;0.00142449;-5.53783e-05;1.88574e-05
2.5e+11;0.00142449;-4.9927e-07;1.24447e-05
-2.5e+11;0.0015449;-3.21551e-07;-2.16204e-05
-2e+11;0.0015449;-8.66024e-05;-3.16645e-05
-1.5e+11;0.0015449;-0.000496598;0.000344492
-1e+11;0.0015449;0.000335459;0.00442982
-5e+10;0.0015449;-0.205645;-0.121162
0;0.0015449;5.09983e-19;0
5e+10;0.0015449;-0.205645;0.121162
1e+11;0.0015449;0.000335459;-0.00442982
1.5e+11;0.0015449;-0.000496598;-0.000344492
2e+11;0.0015449;-8.66024e-05;3.16645e-05
2.5e+11;0.0015449;-3.21551e-07;2.16204e-05
-2.5e+11;0.0016653;-5.52263e-07;-3.6794e-05
-2e+11;0.0016653;-0.000135859;-5.18957e-05
-1.5e+11;0.0016653;-0.000671741;0.000456026
-1e+11;0.0016653;0.000389013;0.00533206
-5e+10;0.0016653;-0.221315;-0.130834
0;0.0016653;2.18395e-18;0
5e+10;0.0016653;-0.221315;0.130834
1e+11;0.0016653;0.000389013;-0.00533206
1.5e+11;0.0016653;-0.000671741;-0.000456026
2e+11;0.0016653;-0.000135859;5.18957e-05
2.5e+11;0.0016653;-5.52263e-07;3.6794e-05
-2.5e+11;0.00178571;-2.88876e-06;-5.70108e-05
