"FREQ";"r xyce/I(PR3)";"i xyce/I(PR3)"
-1.5e+11;5.19603e-07;-2.16684e-07
-1e+11;-6.20725e-06;-7.07358e-06
-5e+10;0.000279347;-0.0018324
0;1.80631e-19;0
5e+10;0.000279347;0.0018324
1e+11;-6.20725e-06;7.07358e-06
1.5e+11;5.19603e-07;2.16684e-07
-1.5e+11;7.37416e-07;-3.10749e-07
-1e+11;-7.8673e-06;-8.93018e-06
-5e+10;0.000313423;-0.0020559
0;8.57415e-12;0
5e+10;0.000313423;0.0020559
1e+11;-7.8673e-06;8.93018e-06
1.5e+11;7.37416e-07;3.10749e-07
-1.5e+11;1.01075e-06;-4.30115e-07
-1e+11;-9.74349e-06;-1.1013e-05
-5e+10;0.000347527;-0.00227908
0;4.85861e-19;0
5e+10;0.000347527;0.00227908
1e+11;-9.74349e-06;1.1013e-05
1.5e+11;1.01075e-06;4.30115e-07
-1.5e+11;1.34723e-06;-5.78566e-07
-1e+11;-1.18451e-05;-1.33282e-05
-5e+10;0.000381697;-0.00250189
0;3.20107e-19;0
5e+10;0.000381697;0.00250189
1e+11;-1.18451e-05;1.33282e-05
1.5e+11;1.34723e-06;5.78566e-07
-1.5e+11;1.75521e-06;-7.60276e-07
-1e+11;-1.4183e-05;-1.58835e-05
-5e+10;0.000415983;-0.00272428
0;-6.01244e-18;0
5e+10;0.000415983;0.00272428
1e+11;-1.4183e-05;1.58835e-05
1.5e+11;1.75521e-06;7.60276e-07
-1.5e+11;2.24401e-06;-9.79918e-07
-1e+11;-1.67701e-05;-1.86888e-05
-5e+10;0.000450444;-0.0029462
0;-1.46916e-19;0
5e+10;0.000450444;0.0029462
1e+11;-1.67701e-05;1.86888e-05
1.5e+11;2.24401e-06;9.79918e-07
