"FREQ";"r xyce/I(PR2)";"i xyce/I(PR2)"
-2.5e+11;3.71959e-10;1.55226e-09
-2e+11;-9.16226e-09;-1.14368e-08
-1.5e+11;2.86348e-08;-1.81709e-07
-1e+11;1.85653e-06;2.97241e-06
-5e+10;5.01383e-05;0.000356653
0;-1.25045e-20;0
5e+10;5.01383e-05;-0.000356653
1e+11;1.85653e-06;-2.97241e-06
1.5e+11;2.86348e-08;1.81709e-07
2e+11;-9.16226e-09;1.14368e-08
2.5e+11;3.71959e-10;-1.55226e-09
