"FREQ";"r xyce/V(VIN)";"i xyce/V(VIN)"
-2.5e+11;-9.94716e-07;-1.67058e-06
-2e+11;2.8949e-06;6.42536e-06
-1.5e+11;-4.8955e-06;5.1247e-05
-1e+11;-0.000271012;-0.000473316
-5e+10;-0.00484262;0.0686845
0;1.1979e-17;0
5e+10;-0.00484262;-0.0686845
1e+11;-0.000271012;0.000473316
1.5e+11;-4.8955e-06;-5.1247e-05
2e+11;2.8949e-06;-6.42536e-06
2.5e+11;-9.94716e-07;1.67058e-06
