"FREQ";"r xyce/V(VOUT)";"i xyce/V(VOUT)"
-2.5e+11;1.75939e-05;3.64793e-06
-2e+11;2.74708e-05;-4.81088e-05
-1.5e+11;-0.000392991;-0.000314101
-1e+11;-0.00173388;0.00165242
-5e+10;-0.121625;-0.181074
0;3.15404e-19;0
5e+10;-0.121625;0.181074
1e+11;-0.00173388;-0.00165242
1.5e+11;-0.000392991;0.000314101
2e+11;2.74708e-05;4.81088e-05
2.5e+11;1.75939e-05;-3.64793e-06
